emp_id,name,age,gender,city,department,education,experience_yrs,salary,salary_band,phone,performance_rating,is_active,is_active_was_missibg
EMP00001,John Singh,35,Female,Chennai,Operations,M.Tech,23.0,41171.98,Mid,6090843195,3,False,1
EMP00002,Aarav Verma,49,Female,Kolkata,Legal,Ba,14.0,91817.78,High,7893556113,4,False,0
EMP00003,Meera Gupta,37,Female,Pune,Legal,B.Com,5.0,63063.68,Mid,8859514581,3,False,0
EMP00004,Karan Singh,40,Other,Delhi,Operations,Mba,18.0,74030.0,Mid,8705302705,4,True,0
EMP00005,Sara Davis,38,Female,Pune,Marketing,Ba,7.0,98512.39,High,7023898015,3,False,0
EMP00006,Ravi Wilson,47,Female,Delhi,IT,B.Tech,12.0,30431.28,Low,8398062790,1,True,0
EMP00007,Pooja Patel,27,Unknown,Mumbai,Operations,B.Sc,32.0,51353.24,Mid,(8042440865),2,True,0
EMP00008,Aarav Kumar,30,Female,Chennai,IT,B.Com,31.0,71658.52,Mid,6856213747,1,False,0
EMP00009,Arjun Gupta,38,Female,Chennai,Sales,Mba,27.0,111906.29,High,Unknown,3,True,0
EMP00010,Raj Moore,52,Female,Mumbai,Finance,B.Tech,9.0,111774.0,High,6894384974,4,False,1
EMP00011,Aarav Davis,33,Female,Chennai,IT,M.Sc,32.0,106932.54,High,6995439475,1,False,0
EMP00012,Arjun Davis,44,Unknown,Delhi,Finance,Mba,0.0,20165.3,Low,6733219408,2,True,0
EMP00013,Pooja Gupta,26,Male,Pune,IT,Mba,20.0,48755.77,Mid,6910290294,3,False,0
EMP00014,Suresh Wilson,57,Male,Chennai,Engineering,M.Tech,4.0,49784.12,Mid,Unknown,4,False,1
EMP00015,Vikram Sharma,57,Unknown,Kolkata,Engineering,M.Tech,0.0,73619.12,Mid,8604635066,4,False,1
EMP00016,David Nair,24,Unknown,Kolkata,Operations,B.Tech,20.0,28674.34,Low,Unknown,2,False,1
EMP00017,Mike Brown,45,Unknown,Kolkata,IT,B.Tech,24.0,102447.41,High,8284567620,5,True,0
EMP00018,Rohit Verma,38,Unknown,Hyderabad,Operations,Mba,19.0,25140.31,Low,XXXXXXXXXX,5,False,0
EMP00019,Karan Iyer,47,Other,Hyderabad,HR,Phd,8.0,100813.0,High,8853123566,3,False,0
EMP00020,David Smith,25,Unknown,Mumbai,Operations,B.Sc,15.0,96771.0,High,7563905483,4,False,0
EMP00021,Sneha Kumar,33,Male,Chennai,Engineering,Mca,27.0,47640.37,Mid,8955709191,3,False,0
EMP00022,Amit Singh,22,Unknown,Jaipur,Marketing,Mba,23.0,75409.67,Unknown,6869008259,5,True,0
EMP00023,Kavya Johnson,42,Male,Kolkata,Finance,B.Tech,15.0,66669.73,Mid,8881915776,3,False,0
EMP00024,Swati Verma,40,Male,Chennai,IT,B.Com,13.0,60182.53,Mid,7659959134,5,True,0
EMP00025,Lisa Patel,42,Male,Chennai,IT,B.Tech,33.0,64463.81,Mid,9228205415,2,True,0
EMP00026,Emily Jones,39,Other,Delhi,Engineering,M.Sc,23.0,66607.94,Mid,6084424800,3,False,0
EMP00027,Deepa Singh,24,Unknown,Chennai,Finance,B.Tech,10.0,68908.15,Mid,9890751768,4,False,0
EMP00028,Sophia Williams,53,Female,Kolkata,IT,Mba,0.0,69475.67,Mid,8983851678,4,False,0
EMP00029,Ravi Davis,31,Male,Chennai,Sales,Ba,11.0,52742.1,Mid,8055683113,4,False,0
EMP00031,Chris Johnson,26,Female,Bangalore,Sales,Mba,8.0,60709.94,Mid,+91-6782592228,4,False,0
EMP00033,Mike Kumar,49,Female,Ahmedabad,Operations,Mca,15.0,60721.19,Mid,9234200030,3,True,0
EMP00035,David Das,36,Other,Ahmedabad,Operations,M.Tech,25.0,112908.22,High,9581513599,3,False,0
EMP00037,Anna Singh,24,Unknown,Bangalore,IT,B.Com,19.0,52744.21,Mid,8851478334,3,False,0
EMP00038,Amit Verma,31,Female,Hyderabad,Finance,Bca,18.0,47326.07,Mid,7994274047,2,True,0
EMP00039,Suresh Johnson,44,Female,Bangalore,Legal,Mba,26.0,39495.99,Low,8777270263,2,False,0
EMP00041,Kavya Iyer,22,Male,Surat,Finance,B.Sc,9.0,29891.23,Low,7430881585,1,False,0
EMP00042,Sara Verma,56,Unknown,Chennai,HR,Mca,24.0,108658.44,High,6114743487,2,False,0
EMP00043,Mike Kumar,52,Other,Jaipur,Finance,Mba,18.0,72716.72,Mid,7938360856,3,False,1
EMP00044,Swati Nair,22,Male,Kolkata,Sales,Phd,14.0,64073.0,Mid,7705068858,3,True,0
EMP00045,Deepa Gupta,24,Unknown,Bangalore,Finance,B.Sc,23.0,69291.0,Mid,9623011290,3,True,0
EMP00046,Divya Jones,24,Female,Delhi,HR,Phd,15.0,86576.42,High,9825310048,2,True,0
EMP00047,Amit Verma,58,Other,Jaipur,Finance,B.Tech,16.0,63254.02,Mid,8785872524,2,True,0
EMP00048,Sophia Davis,40,Male,Surat,Marketing,M.Tech,15.0,70205.71,Mid,8171602676,4,False,0
EMP00049,Meera Smith,50,Unknown,Pune,Marketing,Mba,17.0,101327.0,High,6265797713,4,False,0
EMP00050,James Patel,46,Female,Mumbai,Operations,B.Sc,3.0,83672.64,High,9660325375,2,True,0
EMP00051,Meera Patel,54,Unknown,Surat,IT,B.Tech,1.0,43750.95,Mid,9475685853,4,True,0
EMP00052,Lisa Smith,57,Other,Mumbai,Marketing,B.Tech,30.0,57306.29,Mid,XXXXXXXXXX,4,False,0
EMP00053,Amit Verma,50,Female,Hyderabad,Sales,Bca,1.0,30464.58,Low,9962098984,4,False,0
EMP00054,Ravi Iyer,47,Male,Mumbai,Marketing,M.Tech,1.0,90381.16,High,8190844921,3,False,1
EMP00055,Sophia Wilson,25,Female,Chennai,Finance,B.Sc,14.0,93050.0,High,7145946652,3,False,1
EMP00056,Chris Smith,35,Female,Bangalore,IT,B.Com,28.0,51641.0,Mid,7580920199,4,False,0
EMP00057,Arjun Garcia,48,Female,Jaipur,Marketing,Phd,33.0,132621.31,High,8182609107,3,False,0
EMP00058,Amit Jones,54,Other,Pune,Engineering,Mba,31.0,135947.15,High,6276636480,3,False,1
EMP00059,Karan Verma,43,Male,Delhi,IT,B.Tech,20.0,75570.24,Mid,6882509842,3,False,0
EMP00060,Karan Gupta,24,Female,Hyderabad,Sales,B.Tech,29.0,55065.81,Mid,6843623462,4,True,0
EMP00061,Emily Davis,44,Female,Delhi,Sales,Phd,23.0,81845.03,High,9307908332,3,False,1
EMP00062,Deepa Verma,42,Other,Bangalore,Marketing,M.Tech,13.0,54474.2,Mid,866064575,3,True,0
EMP00063,Emily Wilson,44,Male,Ahmedabad,Marketing,B.Tech,27.0,98750.81,High,9151145153,4,True,0
EMP00064,Pooja Wilson,25,Male,Kolkata,Sales,Mba,13.0,79158.98,Mid,6332609075,5,True,0
EMP00065,Amit Johnson,42,Unknown,Delhi,HR,Bca,33.0,80956.84,High,+91-6302145020,3,False,0
EMP00066,Meera Reddy,58,Other,Delhi,HR,B.Com,13.0,118979.15,High,+91-6831568488,3,False,0
EMP00067,Raj Garcia,52,Unknown,Mumbai,Legal,Mba,24.0,59524.42,Mid,7345720841,4,False,0
EMP00068,Ravi Patel,42,Male,Pune,Engineering,Mba,11.0,60525.23,Mid,8831868936,2,True,0
EMP00069,Anna Singh,47,Female,Pune,IT,B.Tech,19.0,96459.26,High,9763214914,4,True,0
EMP00070,Karan Nair,56,Female,Surat,IT,B.Sc,6.0,64450.07,Mid,6463894565,4,True,0
EMP00071,Lisa Brown,59,Male,Delhi,Sales,M.Tech,14.0,115096.0,High,9762203798,3,False,0
EMP00072,Swati Kumar,45,Male,Kolkata,Engineering,Ba,8.0,100012.42,High,8499918138,2,True,0
EMP00073,Amit Williams,32,Female,Bangalore,Marketing,B.Sc,3.0,65715.97,Mid,XXXXXXXXXX,1,False,0
EMP00074,Swati Jones,50,Other,Hyderabad,Operations,Mba,30.0,29710.83,Low,9445080592,4,True,0
EMP00075,Raj Verma,24,Unknown,Chennai,HR,B.Tech,22.0,38693.91,Low,671824110,3,False,0
EMP00076,Deepa Sharma,22,Male,Ahmedabad,Finance,Mba,5.0,62955.85,Mid,6828177168,3,False,0
EMP00077,Sara Singh,40,Female,Hyderabad,IT,B.Com,27.0,85117.75,High,9322004830,3,False,0
EMP00078,Sara Davis,43,Unknown,Bangalore,Engineering,Mba,11.0,102556.93,High,9691870871,2,True,0
EMP00079,David Verma,35,Male,Surat,Finance,B.Tech,21.0,69567.81,Mid,8175282353,3,True,0
EMP00080,David Smith,35,Unknown,Chennai,Engineering,Mba,23.0,52777.79,Mid,8913473203,3,False,0
EMP00081,Sneha Das,37,Male,Kolkata,Legal,Phd,33.0,71481.45,Mid,6552949793,4,True,0
EMP00082,Pooja Nair,54,Unknown,Bangalore,Engineering,M.Tech,18.0,75509.23,Mid,9197143326,3,True,0
EMP00083,Suresh Sharma,34,Other,Surat,Engineering,Phd,23.0,107623.63,High,9160485916,3,False,0
EMP00084,Emily Verma,59,Other,Surat,IT,B.Tech,19.0,106235.6,High,6943083923,4,True,0
EMP00085,Raj Nair,33,Male,Hyderabad,Legal,Bca,33.0,49952.45,Mid,9519053642,4,True,0
EMP00086,Raj Singh,59,Other,Surat,HR,Mca,26.0,86352.29,High,8107246789,4,False,0
EMP00087,Anna Das,54,Unknown,Pune,Engineering,Mca,28.0,53653.85,Mid,9654706034,2,True,0
EMP00088,James Miller,54,Unknown,Hyderabad,HR,B.Tech,0.0,54359.95,Mid,(6669224451),3,False,0
EMP00089,Swati Iyer,50,Female,Surat,HR,B.Tech,6.0,100967.0,High,6147934211,4,True,0
EMP00090,Karan Johnson,26,Male,Hyderabad,Engineering,M.Sc,19.0,70017.31,Mid,+91-8635462421,5,False,1
EMP00091,David Nair,27,Male,Chennai,IT,Mba,19.0,90996.54,High,8278313266,5,True,0
EMP00092,Deepa Miller,52,Male,Bangalore,Operations,Mba,24.0,88368.37,High,7985999285,4,False,0
EMP00093,Sophia Sharma,37,Female,Jaipur,IT,B.Tech,20.0,73012.87,Mid,7924687156,1,False,0
EMP00094,Swati Smith,52,Unknown,Surat,Finance,Mba,8.0,83324.69,High,7405406973,4,True,0
EMP00095,Nisha Sharma,46,Other,Pune,IT,Mba,26.0,80096.34,High,8899646515,5,False,0
EMP00096,Sneha Johnson,54,Female,Pune,HR,Ba,27.0,46238.76,Mid,XXXXXXXXXX,2,False,0
EMP00098,Meera Patel,31,Male,Mumbai,Finance,B.Com,33.0,57350.06,Mid,(6709107868),3,True,0
EMP00099,Meera Wilson,45,Female,Hyderabad,Engineering,Phd,1.0,48272.63,Mid,6258536577,3,True,0
EMP00100,Ravi Kumar,31,Female,Kolkata,Engineering,M.Tech,8.0,96366.09,High,XXXXXXXXXX,3,True,0
EMP00101,Emily Garcia,52,Male,Pune,Sales,Ba,18.0,60217.02,Mid,7202026935,5,True,0
EMP00102,James Kumar,34,Female,Kolkata,Sales,B.Tech,14.0,102767.2,High,8360581429,5,True,0
EMP00103,David Davis,24,Male,Delhi,HR,Mba,20.0,102458.99,High,7211350071,5,False,0
EMP00104,David Reddy,55,Female,Chennai,Engineering,Mba,15.0,63081.22,Mid,7394664045,3,True,0
EMP00105,Karan Garcia,49,Unknown,Chennai,Marketing,B.Tech,1.0,101708.52,High,Unknown,3,True,0
EMP00106,Deepa Nair,40,Other,Pune,IT,Mba,25.0,65266.87,Mid,9568909305,4,False,0
EMP00109,Pooja Iyer,34,Other,Ahmedabad,IT,B.Tech,33.0,125984.91,High,7879575570,4,True,0
EMP00110,Sophia Davis,54,Male,Chennai,IT,B.Tech,26.0,98522.0,High,7600790697,3,True,0
EMP00111,David Iyer,55,Unknown,Jaipur,Operations,Mba,6.0,73555.26,Mid,7209748558,1,True,0
EMP00112,Mike Das,54,Female,Ahmedabad,Legal,Phd,14.0,77582.56,Mid,7194743590,1,False,0
EMP00113,Amit Johnson,26,Female,Bangalore,IT,Mba,16.0,35422.0,Low,Unknown,5,False,0
EMP00114,Suresh Miller,24,Unknown,Chennai,Finance,B.Sc,8.0,100120.04,High,9213106170,3,True,0
EMP00115,Suresh Singh,28,Other,Chennai,Legal,B.Tech,12.0,97433.42,High,Unknown,3,False,0
EMP00116,Meera Gupta,45,Female,Delhi,HR,Mba,31.0,82087.31,High,6907723092,5,False,0
EMP00117,Ravi Smith,43,Male,Mumbai,Engineering,M.Sc,1.0,92943.9,High,9631357239,3,True,0
EMP00118,Aarav Wilson,44,Female,Bangalore,Finance,Mba,31.0,24370.31,Low,8287747299,2,True,0
EMP00119,Deepa Gupta,51,Female,Mumbai,HR,Phd,19.0,47956.0,Mid,7767670448,4,False,0
EMP00121,Aarav Kumar,53,Other,Chennai,Finance,Mba,26.0,68556.82,Mid,6088604093,2,False,1
EMP00122,Mike Patel,28,Unknown,Delhi,Marketing,Ba,29.0,93935.82,High,Unknown,5,True,0
EMP00123,Meera Kumar,54,Female,Mumbai,Marketing,M.Sc,10.0,56334.01,Mid,(7280829646),3,False,0
EMP00124,Chris Patel,26,Male,Delhi,Marketing,Bca,15.0,63946.0,Mid,7109329702,4,False,1
EMP00125,Anna Smith,49,Male,Ahmedabad,Engineering,B.Com,25.0,121367.07,High,8388885554,3,False,1
EMP00126,Ravi Miller,38,Female,Bangalore,Finance,B.Sc,29.0,71063.7,Mid,7031037034,3,False,1
EMP00127,Meera Verma,36,Unknown,Kolkata,IT,M.Tech,1.0,88089.0,High,9228176914,3,False,0
EMP00128,Sara Garcia,25,Unknown,Chennai,IT,Mba,33.0,78261.39,Mid,8210337690,2,False,0
EMP00129,Arjun Davis,55,Male,Kolkata,Operations,Bca,21.0,81160.43,High,Unknown,3,True,0
EMP00130,Karan Wilson,26,Unknown,Bangalore,IT,Mba,30.0,80305.68,High,9413918192,3,True,0
EMP00131,Anil Garcia,54,Male,Chennai,Legal,M.Sc,20.0,25559.92,Low,6137561776,3,False,0
EMP00132,Meera Garcia,26,Male,Mumbai,Engineering,Bca,22.0,86926.65,High,9994140319,4,False,0
EMP00133,Lisa Brown,59,Male,Delhi,Legal,M.Tech,25.0,61559.27,Mid,6203096426,2,False,0
EMP00134,Arjun Singh,55,Female,Pune,HR,B.Tech,17.0,119489.18,High,8065330309,3,True,0
EMP00135,Sneha Brown,47,Male,Mumbai,Sales,B.Tech,14.0,55684.0,Mid,7776963794,4,True,0
EMP00136,Kavya Brown,38,Female,Kolkata,Sales,Phd,33.0,63209.97,Mid,9668656298,3,True,0
EMP00137,Pooja Jones,25,Female,Chennai,HR,Mca,21.0,136152.85,High,8891727871,5,False,0
EMP00138,Anna Patel,47,Female,Delhi,Finance,Bca,27.0,93085.12,High,9057725745,4,False,0
EMP00139,Sara Singh,54,Female,Ahmedabad,Engineering,M.Tech,6.0,50414.52,Mid,Unknown,5,False,0
EMP00140,Priya Williams,54,Unknown,Bangalore,Operations,B.Tech,23.0,79410.28,Mid,7870894952,3,True,0
EMP00141,Emily Smith,29,Female,Mumbai,IT,M.Tech,34.0,44490.15,Mid,6483163883,5,False,0
EMP00142,Lisa Singh,41,Female,Mumbai,HR,M.Sc,12.0,81439.67,High,Unknown,4,False,0
EMP00143,Meera Iyer,37,Male,Bangalore,Operations,Ba,12.0,54891.0,Mid,9180707598,4,True,0
EMP00144,Arjun Davis,42,Female,Delhi,Operations,B.Com,30.0,75409.67,Unknown,7835386920,5,True,0
EMP00145,Suresh Reddy,47,Female,Delhi,Legal,Ba,18.0,85522.11,High,7416266201,4,True,0
EMP00146,Pooja Nair,44,Male,Mumbai,Marketing,M.Tech,28.0,88188.8,High,6769755693,5,False,0
EMP00147,Vikram Jones,39,Unknown,Bangalore,Marketing,Mba,21.0,98743.78,High,9005558864,3,False,0
EMP00148,Meera Kumar,52,Male,Hyderabad,Operations,Phd,20.0,101540.58,High,9399554462,4,False,0
EMP00149,Suresh Davis,33,Male,Hyderabad,Operations,B.Tech,15.0,57773.25,Mid,8128006527,3,False,0
EMP00150,Sneha Patel,22,Male,Jaipur,Operations,Mba,29.0,77374.22,Mid,6852978178,2,True,0
EMP00151,John Davis,30,Female,Ahmedabad,Finance,B.Com,4.0,63863.02,Mid,9047775253,4,True,0
EMP00152,James Sharma,24,Male,Hyderabad,Sales,Bca,5.0,127351.83,High,8832555819,5,False,0
EMP00153,Ravi Gupta,47,Unknown,Surat,IT,B.Tech,20.0,17868.37,Low,XXXXXXXXXX,4,True,0
EMP00154,Divya Brown,30,Unknown,Bangalore,Legal,Bca,10.0,60622.25,Mid,7231486799,4,True,0
EMP00155,Nisha Garcia,37,Female,Surat,Legal,Mba,23.0,73001.0,Mid,6522317442,4,True,0
EMP00156,Arjun Williams,45,Other,Mumbai,Engineering,Mba,27.0,78423.4,Mid,7498045861,3,False,0
EMP00157,Chris Patel,35,Female,Kolkata,Operations,M.Tech,14.0,77912.97,Mid,8055497768,2,False,1
EMP00158,Divya Williams,24,Other,Chennai,Marketing,B.Tech,18.0,73846.2,Mid,8640012415,3,True,0
EMP00159,Aarav Williams,55,Male,Kolkata,IT,B.Tech,16.0,70939.55,Mid,6694300302,1,True,0
EMP00160,Vikram Jones,54,Other,Chennai,Operations,Mba,2.0,81032.42,High,8867016507,4,False,0
EMP00161,Ananya Brown,45,Other,Delhi,Legal,Mba,2.0,86537.57,High,8999291524,4,True,0
EMP00162,Mike Davis,30,Other,Mumbai,Finance,M.Tech,27.0,119767.72,High,9332689362,3,False,0
EMP00163,Sara Garcia,34,Male,Surat,Sales,Mca,30.0,119546.51,High,6860796713,2,False,0
EMP00164,Karan Iyer,23,Female,Mumbai,Finance,Ba,7.0,82524.92,High,7937717719,3,False,0
EMP00165,Ananya Iyer,28,Unknown,Chennai,Sales,Mba,16.0,62616.36,Mid,8881995831,3,False,1
EMP00166,Priya Wilson,42,Unknown,Surat,IT,Phd,34.0,64365.32,Mid,8623665325,3,False,0
EMP00167,Emily Davis,40,Female,Chennai,Marketing,M.Tech,26.0,42147.71,Mid,8211965193,3,False,1
EMP00168,Priya Smith,46,Other,Hyderabad,Finance,B.Sc,32.0,98830.86,High,9925807663,3,False,0
EMP00169,Priya Patel,43,Male,Jaipur,Sales,Mba,10.0,73881.63,Mid,8342064669,5,True,0
EMP00170,Anil Garcia,32,Male,Jaipur,Engineering,Bca,20.0,85931.54,High,7623101527,3,True,0
EMP00171,Raj Miller,54,Female,Kolkata,Sales,B.Tech,5.0,83343.68,High,8378416585,4,False,0
EMP00172,Divya Patel,53,Female,Kolkata,Finance,Mba,20.0,57559.49,Mid,9759267601,4,False,0
EMP00173,Raj Kumar,42,Other,Mumbai,Operations,M.Tech,27.0,54472.95,Mid,6307053935,3,True,0
EMP00174,Anna Nair,41,Female,Mumbai,Marketing,Phd,16.0,63677.19,Mid,8335517995,4,True,0
EMP00175,Ravi Moore,29,Female,Chennai,IT,B.Sc,17.0,87143.16,High,6565597517,4,False,0
EMP00176,Ravi Gupta,58,Male,Mumbai,IT,M.Sc,10.0,72981.21,Mid,6021354725,1,False,0
EMP00177,Amit Singh,30,Male,Ahmedabad,Engineering,B.Sc,24.0,30867.24,Low,7465152499,2,False,0
EMP00178,Chris Wilson,46,Unknown,Bangalore,HR,Ba,29.0,49396.35,Mid,7898510177,4,False,0
EMP00179,Meera Wilson,46,Other,Bangalore,Engineering,Bca,24.0,68315.7,Mid,9774676361,3,False,0
EMP00180,Swati Patel,54,Other,Mumbai,Legal,Mba,6.0,74240.0,Mid,7411925899,3,False,0
EMP00181,Swati Kumar,23,Male,Delhi,Finance,Phd,26.0,87887.0,High,6448150486,2,False,1
EMP00182,Pooja Wilson,40,Unknown,Kolkata,Finance,M.Sc,25.0,75981.52,Mid,8282072885,2,False,1
EMP00183,Anil Miller,41,Female,Hyderabad,Finance,B.Sc,12.0,65932.19,Mid,+91-7598911355,4,True,0
EMP00184,Rohit Verma,50,Female,Hyderabad,HR,M.Sc,23.0,65072.84,Mid,7628063537,4,True,0
EMP00185,Arjun Smith,27,Female,Hyderabad,Engineering,Mba,11.0,80036.56,High,6839898125,4,True,0
EMP00186,Meera Verma,38,Other,Delhi,Marketing,B.Tech,13.0,85451.22,High,8841945062,3,False,0
EMP00187,Amit Reddy,46,Unknown,Ahmedabad,Operations,B.Sc,8.0,66754.93,Mid,7405702357,5,False,0
EMP00188,Sara Das,59,Female,Delhi,Engineering,Mba,30.0,48057.65,Mid,8501899507,4,False,0
EMP00189,Suresh Smith,25,Male,Delhi,Engineering,B.Tech,3.0,75409.67,Unknown,+91-7214989206,4,True,0
EMP00190,Sophia Kumar,51,Unknown,Jaipur,IT,Mca,18.0,58753.46,Mid,Unknown,1,True,0
EMP00191,Aarav Jones,41,Other,Hyderabad,Engineering,B.Com,0.0,82189.51,High,9480918967,3,True,0
EMP00192,Swati Wilson,24,Female,Surat,Sales,Mba,28.0,112018.69,High,6775462539,5,True,0
EMP00193,Sneha Kumar,44,Female,Chennai,Engineering,M.Sc,5.0,41210.89,Mid,8126108607,3,True,0
EMP00194,Deepa Iyer,39,Female,Mumbai,Operations,Ba,0.0,103767.42,High,607492090,4,True,0
EMP00195,Raj Verma,47,Male,Bangalore,HR,M.Sc,24.0,86725.99,High,9460664134,4,True,0
EMP00196,Karan Johnson,57,Female,Chennai,Operations,Mba,26.0,102571.02,High,7649274809,2,False,0
EMP00197,Chris Kumar,29,Unknown,Ahmedabad,Finance,M.Sc,21.0,64106.39,Mid,6287522959,4,False,0
EMP00198,Chris Gupta,38,Male,Jaipur,Sales,Mba,16.0,38849.31,Low,8738286894,2,True,0
EMP00199,Kavya Das,52,Female,Pune,HR,Mba,28.0,79492.39,Mid,6883821096,4,True,0
EMP00200,Divya Jones,58,Female,Surat,Sales,Mba,2.0,109992.13,High,Unknown,5,True,0
EMP00201,James Davis,54,Male,Pune,Marketing,B.Tech,16.0,48486.96,Mid,+91-7059800555,5,False,1
EMP00202,Mike Das,48,Female,Chennai,HR,Ba,1.0,52242.2,Mid,8821305186,4,True,0
EMP00203,Swati Miller,25,Unknown,Hyderabad,IT,Mba,31.0,89679.97,High,8318447405,3,True,0
EMP00204,Aarav Davis,43,Male,Mumbai,Operations,B.Sc,21.0,62194.83,Mid,(6102623168),4,True,0
EMP00205,Ananya Singh,47,Female,Ahmedabad,IT,B.Com,32.0,116652.13,High,6548549247,4,True,0
EMP00206,Chris Reddy,53,Unknown,Kolkata,IT,Mba,21.0,91301.89,High,9389529928,1,True,0
EMP00207,Vikram Singh,45,Male,Delhi,HR,B.Sc,3.0,57019.42,Mid,7713768172,2,False,0
EMP00208,Chris Singh,56,Unknown,Chennai,Operations,Mba,12.0,60883.84,Mid,6638351144,4,True,0
EMP00209,Emily Davis,58,Male,Delhi,Marketing,B.Tech,22.0,61872.34,Mid,6973635635,1,True,0
EMP00210,Karan Verma,53,Male,Bangalore,Legal,B.Sc,12.0,73926.99,Mid,6177425844,5,False,0
EMP00211,Ananya Moore,28,Unknown,Surat,Marketing,Ba,19.0,82611.28,High,8943192538,3,False,0
EMP00212,Arjun Smith,54,Unknown,Chennai,Engineering,B.Tech,32.0,80785.77,High,861498299,3,True,0
EMP00213,Arjun Verma,52,Unknown,Chennai,IT,Ba,33.0,46882.39,Mid,9436502059,3,True,0
EMP00214,Raj Garcia,33,Female,Surat,Engineering,Mca,28.0,97546.89,High,7826638153,5,True,0
EMP00215,Vikram Patel,32,Other,Bangalore,HR,B.Tech,31.0,67747.97,Mid,9842417928,5,False,1
EMP00216,Ravi Brown,45,Male,Ahmedabad,Engineering,Mba,10.0,51811.61,Mid,+91-6537332590,2,False,1
EMP00217,James Verma,29,Female,Mumbai,Sales,B.Sc,17.0,63423.87,Mid,7636333888,4,False,0
EMP00218,Priya Sharma,53,Female,Hyderabad,Operations,M.Tech,20.0,100357.7,High,9809091606,4,True,0
EMP00219,Rohit Reddy,59,Male,Kolkata,Engineering,Mba,11.0,79758.08,Mid,XXXXXXXXXX,4,False,1
EMP00220,John Verma,43,Female,Hyderabad,Engineering,B.Tech,19.0,81939.04,High,8817944297,4,False,0
EMP00221,Divya Jones,55,Male,Hyderabad,Marketing,Mba,6.0,45750.3,Mid,6636305005,3,True,0
EMP00222,Deepa Brown,40,Male,Delhi,Engineering,M.Tech,26.0,78305.83,Mid,7458889491,3,False,0
EMP00223,Deepa Sharma,41,Female,Mumbai,Operations,Bca,6.0,99938.0,High,8670257802,3,False,0
EMP00224,Sneha Kumar,35,Male,Chennai,Sales,M.Tech,1.0,75409.67,Unknown,8762668813,2,False,0
EMP00225,Chris Reddy,54,Female,Chennai,Marketing,Bca,32.0,65276.26,Mid,7098916612,2,True,0
EMP00226,Deepa Patel,31,Male,Pune,Marketing,Mba,20.0,90579.53,High,9857863421,2,True,0
EMP00227,James Johnson,37,Unknown,Chennai,IT,B.Sc,28.0,78956.0,Mid,+91-7226003207,4,True,0
EMP00228,Anil Davis,25,Male,Jaipur,Sales,Mba,31.0,49529.88,Mid,8160719571,2,False,0
EMP00229,Karan Brown,48,Unknown,Mumbai,Operations,Mba,11.0,84956.57,High,8063434473,4,True,0
EMP00230,Karan Patel,49,Female,Chennai,Operations,B.Com,12.0,45814.72,Mid,862172469,4,False,0
EMP00231,Ananya Johnson,37,Female,Hyderabad,Sales,B.Sc,2.0,53311.32,Mid,7290437603,5,True,0
EMP00232,Chris Patel,54,Unknown,Pune,Marketing,B.Sc,7.0,55936.05,Mid,6014967816,4,False,0
EMP00233,Chris Johnson,40,Female,Delhi,Legal,M.Sc,1.0,113584.7,High,6770384741,5,False,0
EMP00234,Arjun Gupta,42,Male,Ahmedabad,Marketing,Phd,5.0,33257.0,Low,7610963791,1,False,0
EMP00235,Sara Singh,43,Male,Bangalore,Finance,B.Sc,14.0,35102.61,Low,7068662452,4,True,0
EMP00236,Kavya Davis,30,Female,Bangalore,Engineering,Bca,11.0,82083.04,High,6854443693,1,False,0
